case,runner,repetition,case_sha256,commit,gate_status,oracle_status,model_calls,estimated_cost_usd,repair_seconds,grader_seconds,patch_lines
boolean-config,ci-repair,1,7b06ccacfcbaa20dbe52eca5d9642ff8469a549d7232e4784683bfafc3dc92f5,21911667a0364c919bfc1424a31d7e878ef384bb,PASS,PASS,5,0.00089208,6.3245005829958245,0.9205844160169363,2
boolean-config,upstream,1,7b06ccacfcbaa20dbe52eca5d9642ff8469a549d7232e4784683bfafc3dc92f5,21911667a0364c919bfc1424a31d7e878ef384bb,PASS,PASS,5,0.0020504879999999996,7.864698083023541,0.8845376250101253,2
empty-average,upstream,1,4db8cd8390561c45ee15f54faf461775c0fa49e14978ce76fd28aefeea7db9e5,d85c94488e6d30a4584f31bfeff0b35741a0fcd8,PASS,PASS,6,0.0020253119999999996,7.744680957985111,0.9123302499647252,2
empty-average,ci-repair,1,4db8cd8390561c45ee15f54faf461775c0fa49e14978ce76fd28aefeea7db9e5,d85c94488e6d30a4584f31bfeff0b35741a0fcd8,PASS,PASS,3,0.00045126,3.5034436249989085,0.8967371249455027,2
inclusive-range,ci-repair,1,77655716c4f9e93693553b8a32032ac2c0a936aad52f70140fd3f2817780d44f,163677ec719e04a118c3e1c0179ce2f601095977,PASS,PASS,4,0.0007473,4.927760667051189,0.9132417499786243,2
inclusive-range,upstream,1,77655716c4f9e93693553b8a32032ac2c0a936aad52f70140fd3f2817780d44f,163677ec719e04a118c3e1c0179ce2f601095977,PASS,PASS,6,0.001920672,8.232869667001069,0.9060855419957079,2
json-import,upstream,1,cbb88851879669fee3ef1e861957d0d844f983fb565d720eaf37f3404c235f16,c27b8809bda3cd5c70d353695ffa893d301e9b59,PASS,PASS,5,0.0015662879999999999,6.20437683298951,1.0606308749993332,4
json-import,ci-repair,1,cbb88851879669fee3ef1e861957d0d844f983fb565d720eaf37f3404c235f16,c27b8809bda3cd5c70d353695ffa893d301e9b59,PASS,PASS,3,0.0004959959999999999,3.793248541012872,0.9819838749826886,4
stable-dedup,ci-repair,1,86e6f72fde85bd07a986177c45f7de7681237f307ce3cffe5e42f64994ef1185,f6befe49771703314a02386bf29b0bf595e38cb9,PASS,PASS,5,0.0009809159999999999,6.095167958992533,0.9147052919724956,2
stable-dedup,upstream,1,86e6f72fde85bd07a986177c45f7de7681237f307ce3cffe5e42f64994ef1185,f6befe49771703314a02386bf29b0bf595e38cb9,PASS,PASS,6,0.002141076,8.418694042018615,0.8834747499786317,8
syntax-colon,upstream,1,fc848da6ce6dbd7402381e997a7731925df0b170b5e468fba96528dc1f87a568,0c5b1662b95af9285306155e11b82629fa224804,PASS,PASS,5,0.001381776,5.985274875012692,0.883979709004052,2
syntax-colon,ci-repair,1,fc848da6ce6dbd7402381e997a7731925df0b170b5e468fba96528dc1f87a568,0c5b1662b95af9285306155e11b82629fa224804,PASS,PASS,4,0.000672204,5.3530898339813575,0.9040424579870887,2
boolean-config,upstream,2,7b06ccacfcbaa20dbe52eca5d9642ff8469a549d7232e4784683bfafc3dc92f5,21911667a0364c919bfc1424a31d7e878ef384bb,PASS,PASS,6,0.0015194639999999999,6.820973958005197,0.906642833026126,2
boolean-config,ci-repair,2,7b06ccacfcbaa20dbe52eca5d9642ff8469a549d7232e4784683bfafc3dc92f5,21911667a0364c919bfc1424a31d7e878ef384bb,PASS,PASS,4,0.0006585,4.171764791943133,0.9017741660354659,2
empty-average,ci-repair,2,4db8cd8390561c45ee15f54faf461775c0fa49e14978ce76fd28aefeea7db9e5,d85c94488e6d30a4584f31bfeff0b35741a0fcd8,PASS,PASS,3,0.00045576,3.307275875005871,0.9079144169809297,2
empty-average,upstream,2,4db8cd8390561c45ee15f54faf461775c0fa49e14978ce76fd28aefeea7db9e5,d85c94488e6d30a4584f31bfeff0b35741a0fcd8,PASS,PASS,4,0.0008763239999999999,3.732246999978088,0.8953689169720747,2
